,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
0,2017 쏘울,l4,자연흡기,가솔린,"1,591cc",130hp,16.4kg.m,"복합 11.9km/ℓ 도심 11km/ℓ, 고속 13.1km/ℓ",146g/km,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,588mm","1,290kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,
1,2026 아이오닉 6 N,,,전기,,,,"복합 4.2km/kWh 도심 4.4km/kWh, 고속 4km/kWh",,"4,935mm / 1,940mm","1,495mm / 2,965mm","1,665mm / 1,676mm","2,175kg",275mm / 35 / 20inch,275mm / 35 / 20inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),387km,84kWh,리튬 이온,,
2,2008 투싼,2.0 VVT,,가솔린,"1,975cc",142hp,18.8kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,325mm / 1,800mm","1,680mm / 2,630mm","1,540mm / 1,540mm",,215mm / 65 / 16inch,215mm / 65 / 16inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,,
3,2025 BMW iX2,,,전기,,,,"복합 4.8km/kWh 도심 4.9km/kWh, 고속 4.7km/kWh",,"4,555mm / 1,830mm","1,560mm / 2,690mm","1,585mm / 1,587mm","1,965kg",245mm / 45 / 19inch,245mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,150kW201.2hp (단순환산치),250Nm25.5kg.m (단순환산치),350km,64.7kWh,리튬 이온,170km/h,8.6초
4,2012 엑센트 위트,I4 1.4,,가솔린,"1,396cc",108hp,13.9kg.m,"복합 13.3~14.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",120~129g/km,"4,115mm / 1,705mm","1,455mm / 2,570mm","1,506mm / 1,511mm","1,040~1,065kg",175mm / 70 / 14inch,175mm / 70 / 14inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
5,2023 테슬라 모델 3,,,전기,,,,"복합 5.7km/kWh 도심 0km/kWh, 고속 0km/kWh",,"4,695mm / 1,935mm","1,430mm / 2,875mm","1,580mm / 1,580mm","1,750kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,208kW278.9hp (단순환산치),353Nm36.0kg.m (단순환산치),403km,50kWh,리튬 인산철,225km/h,6.1초
6,2011 쏘울,1.6 VGT,,디젤,"1,582cc",128hp,26.5kg.m,"복합 17.5~19.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",135~170g/km,"4,105mm / 1,785mm","1,610~1,660mm / 2,550mm","1,570mm / 1,575mm","1,270~1,285kg",195~225mm / 45~65 / 15~18inch,195~225mm / 45~65 / 15~18inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,"드럼,디스크",랙 앤 피니언,,,,,,,
7,2022 BMW 2시리즈,I6,싱글터보,가솔린,"2,998cc",387hp,51kg.m,"복합 9.6km/ℓ 도심 8.3km/ℓ, 고속 12km/ℓ",177g/km,"4,560mm / 1,825mm","1,405mm / 2,740mm","1,575mm / 1,587mm","1,719kg",225mm / 40 / 19inch,255mm / 35 / 19inch,상시사륜 구동,자동8단,더블 조인트,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초
8,2016 메르세데스-벤츠 GLE,I4 직분사,싱글터보,디젤,"2,143cc",204hp,51kg.m,"복합 11.1km/ℓ 도심 10.4km/ℓ, 고속 12.2km/ℓ",173g/km,"4,830mm / 1,935mm","1,770mm / 2,915mm","1,645mm / 1,655mm","2,280kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,토크컨버터9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,212.4km/h,8.6초
9,2003 쎄라토,1.5가솔린,,가솔린,"1,495cc",107hp,13.8kg.m,"복합 14.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,480mm / 1,735mm","1,470mm / 2,610mm","1,495mm / 1,485mm","1,170kg",185~195mm / 60~65 / 15inch,185~195mm / 60~65 / 15inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,듀얼링크,V디스크,"드럼,디스크",랙 앤 피니언,,,,,,191km/h,
10,2018 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",184hp,30.6kg.m,"복합 11.5km/ℓ 도심 10.1km/ℓ, 고속 13.7km/ℓ",151g/km,"4,665mm / 1,775mm","1,435mm / 2,700mm","1,555mm / 1,555mm","1,510kg",225mm / 40 / 18inch,225mm / 40 / 18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,9.8초
11,2015 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,"복합 8km/ℓ 도심 6.7km/ℓ, 고속 10.3km/ℓ",226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
