,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
0,0,2017 쏘울,l4,자연흡기,가솔린,"1,591cc",130hp,16.4kg.m,,146g/km,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,588mm","1,290kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,,2017 기아 쏘울,8.6,9.1,9.2,8.9,9.1,7.7,8.8,2017,기아 쏘울,기아,1.0,경차
5,5,2023 테슬라 모델 3,,,전기,,,,,,"4,695mm / 1,935mm","1,430mm / 2,875mm","1,580mm / 1,580mm","1,750kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,208kW278.9hp (단순환산치),353Nm36.0kg.m (단순환산치),403km,50kWh,리튬 인산철,225km/h,6.1초,2023 테슬라 모델 3,9.9,8.8,8.7,7.9,9.4,9.3,9.0,2023,테슬라 모델 3,테슬라,,대형/프리미엄
7,7,2022 BMW 2시리즈,I6,싱글터보,가솔린,"2,998cc",387hp,51kg.m,,177g/km,"4,560mm / 1,825mm","1,405mm / 2,740mm","1,575mm / 1,587mm","1,719kg",225mm / 40 / 19inch,255mm / 35 / 19inch,상시사륜 구동,자동8단,더블 조인트,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초,2022 BMW 2시리즈,9.7,8.9,8.1,9.4,9.6,8.9,9.1,2022,BMW 2시리즈,BMW,2.0,경차
8,8,2016 메르세데스-벤츠 GLE,I4 직분사,싱글터보,디젤,"2,143cc",204hp,51kg.m,,173g/km,"4,830mm / 1,935mm","1,770mm / 2,915mm","1,645mm / 1,655mm","2,280kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,토크컨버터9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,212.4km/h,8.6초,2016 메르세데스-벤츠 GLE,9.4,8.1,8.8,9.1,9.5,8.2,8.8,2016,메르세데스-벤츠 GLE,메르세데스-벤츠,2.0,경차
10,10,2018 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",184hp,30.6kg.m,,151g/km,"4,665mm / 1,775mm","1,435mm / 2,700mm","1,555mm / 1,555mm","1,510kg",225mm / 40 / 18inch,225mm / 40 / 18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,9.8초,2018 메르세데스-벤츠 CLA,9.2,8.5,7.8,8.7,9.7,8.1,8.6,2018,메르세데스-벤츠 CLA,메르세데스-벤츠,1.0,경차
11,11,2015 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,,226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2015 렉서스 LS,9.6,7.9,9.4,9.6,9.1,7.3,8.8,2015,렉서스 LS,렉서스,4.0,경차
15,15,2016 렉서스 ES,V6 Dual VVT-i,,가솔린,"3,456cc",277hp,35.3kg.m,,173g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,630kg",215~225mm / 45~55 / 17~18inch,215~225mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,듀얼링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 렉서스 ES,9.5,9.2,9.6,9.8,8.9,9.4,9.4,2016,렉서스 ES,렉서스,3.0,경차
16,16,2023 BMW M8,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,,230g/km,"4,865mm / 1,905mm","1,380mm / 2,827mm",,"1,920kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,305km/h,3.2초,2023 BMW M8,10.0,10.0,8.0,8.0,10.0,8.0,9.0,2023,BMW M8,BMW,4.0,경차
18,18,2023 BMW iX,,,전기,,,,,,"4,955mm / 1,965mm","1,695mm / 3,000mm","1,659mm / 1,688mm","2,575kg",275mm / 40 / 22inch,275mm / 40 / 22inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,385kW516.3hp (단순환산치),765Nm78.0kg.m (단순환산치),447km,111.5kWh,리튬 이온,200km/h,4.6초,2023 BMW iX,9.9,8.3,9.8,9.8,9.6,10.0,9.6,2023,BMW iX,BMW,,대형/프리미엄
19,19,2022 렉서스 UX 하이브리드,I4,자연흡기,가솔린,"2,487cc",189hp 합산 242hp,24.7kg.m,,114g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","1,850kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2022 렉서스 UX 하이브리드,9.7,8.2,8.6,9.8,9.7,9.7,9.3,2022,렉서스 UX 하이브리드,렉서스,2.0,경차
20,21,2023 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"1,993cc",197hp,44.9kg.m,,134g/km,"4,720mm / 1,890mm","1,645mm / 2,890mm","1,627mm / 1,640mm","2,005kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,219km/h,8초,2023 메르세데스-벤츠 GLC,9.4,7.5,9.1,9.2,9.8,8.6,8.9,2023,메르세데스-벤츠 GLC,메르세데스-벤츠,1.0,경차
