,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
0,8.8,8.6,9.1,9.2,8.9,9.1,7.7,11.9,가솔린,2017,경차,기아,146g/km
5,9.0,9.9,8.8,8.7,7.9,9.4,9.3,5.7,전기,2023,대형/프리미엄,테슬라,
7,9.1,9.7,8.9,8.1,9.4,9.6,8.9,9.6,가솔린,2022,경차,BMW,177g/km
8,8.8,9.4,8.1,8.8,9.1,9.5,8.2,11.1,디젤,2016,경차,메르세데스-벤츠,173g/km
10,8.6,9.2,8.5,7.8,8.7,9.7,8.1,11.5,가솔린,2018,경차,메르세데스-벤츠,151g/km
11,8.8,9.6,7.9,9.4,9.6,9.1,7.3,8.0,가솔린,2015,경차,렉서스,226g/km
15,9.4,9.5,9.2,9.6,9.8,8.9,9.4,10.2,가솔린,2016,경차,렉서스,173g/km
16,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.6,가솔린,2023,경차,BMW,230g/km
18,9.6,9.9,8.3,9.8,9.8,9.6,10.0,3.6,전기,2023,대형/프리미엄,BMW,
19,9.3,9.7,8.2,8.6,9.8,9.7,9.7,14.0,가솔린,2022,경차,렉서스,114g/km
20,8.9,9.4,7.5,9.1,9.2,9.8,8.6,14.1,디젤,2023,경차,메르세데스-벤츠,134g/km
21,8.7,8.9,8.2,9.2,8.6,9.5,7.9,12.0,가솔린,2023,경차,현대,133~139g/km
22,9.2,9.8,8.2,9.2,9.6,9.7,8.5,10.0,디젤,2021,경차,BMW,195g/km
24,9.3,9.9,9.1,8.1,9.6,9.8,9.3,4.1,전기,2024,대형/프리미엄,BMW,
25,8.5,9.5,8.3,8.5,8.8,7.2,9.0,5.3,전기,2018,대형/프리미엄,기아,
28,9.3,9.8,8.9,9.5,8.7,9.5,9.4,5.1,전기,2024,대형/프리미엄,테슬라,
29,8.2,8.9,7.6,8.7,8.2,8.8,6.9,,디젤,2023,경차,현대,
30,9.2,9.8,7.8,9.7,9.3,9.3,9.6,5.1,전기,2024,대형/프리미엄,현대,
31,8.5,9.4,7.9,9.0,8.9,9.1,6.5,8.8,가솔린,2021,경차,제네시스,196g/km
32,9.5,9.9,9.2,9.5,9.7,9.8,8.7,4.1,전기,2023,대형/프리미엄,BMW,
35,7.8,7.8,7.7,7.3,7.4,9.3,7.4,11.4,가솔린,2019,경차,르노코리아,149g/km
36,9.0,9.8,8.5,8.7,9.4,9.9,7.9,11.6,디젤,2014,경차,BMW,172g/km
39,8.7,8.8,9.2,8.5,8.5,8.5,8.8,13.2,가솔린,2016,경차,기아,0~131g/km
41,8.7,9.2,8.4,8.2,8.9,9.4,8.1,11.2,가솔린,2018,경차,메르세데스-벤츠,
42,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2019,경차,렉서스,170g/km
43,8.3,8.5,8.5,8.3,8.2,8.9,7.6,11.9,가솔린,2015,경차,기아,142g/km
45,9.3,9.8,8.9,9.5,8.7,9.5,9.4,5.1,전기,2023,대형/프리미엄,테슬라,
46,8.7,9.6,8.0,8.3,9.2,9.9,6.9,7.3,가솔린,2016,경차,메르세데스-벤츠,243g/km
47,8.5,8.8,8.4,8.3,8.9,8.4,7.9,13.2,디젤,2014,경차,르노코리아,151g/km
49,8.9,9.6,8.1,8.7,9.4,9.6,8.0,10.5,가솔린,2020,경차,메르세데스-벤츠,170g/km
50,8.5,9.9,8.1,8.4,9.0,9.4,6.0,6.9,가솔린,2024,경차,BMW,252g/km
52,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.3,가솔린,2022,경차,BMW,237g/km
53,8.5,9.2,8.2,9.2,9.0,9.4,6.0,8.3,가솔린,2016,경차,제네시스,186~205g/km
54,8.5,9.4,7.9,9.0,8.9,9.1,6.5,7.2,가솔린,2020,경차,제네시스,241g/km
56,7.9,9.1,9.0,7.2,8.2,9.2,5.0,9.9,가솔린,2014,경차,제네시스,177~180g/km
58,8.8,9.2,8.8,9.3,8.8,8.7,8.1,11.9,디젤,2015,경차,현대,168g/km
59,9.8,10.0,9.3,9.9,9.9,9.9,10.0,3.7,전기,2023,대형/프리미엄,BMW,
61,9.0,9.7,9.0,7.4,9.1,9.0,9.7,18.5,디젤,2014,경차,BMW,103g/km
62,8.7,9.5,8.5,9.6,9.1,8.7,6.8,10.0,가솔린,2024,경차,현대,152~168g/km
63,9.2,9.2,8.3,8.8,9.6,9.4,9.7,10.9,가솔린,2018,경차,렉서스,155g/km
64,8.8,9.4,8.1,8.8,9.1,9.5,8.2,9.7,디젤,2017,경차,메르세데스-벤츠,200g/km
65,8.5,8.5,9.1,6.8,9.0,9.6,7.9,9.1,가솔린,2015,경차,메르세데스-벤츠,195g/km
66,9.0,9.3,7.6,9.4,9.1,9.7,9.1,15.7,가솔린,2024,경차,기아,102g/km
67,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.9,디젤,2018,경차,기아,180g/km
68,8.2,9.7,6.8,8.3,10.0,9.7,4.5,9.9,가솔린,2016,경차,렉서스,175g/km
69,8.7,9.6,7.7,8.0,8.7,9.9,8.1,11.5,가솔린,2021,경차,메르세데스-벤츠,150g/km
71,9.2,9.6,9.5,8.5,10.0,9.5,7.9,7.6,가솔린,2018,경차,렉서스,233g/km
72,8.6,8.8,8.8,8.5,8.7,7.1,9.7,19.5,가솔린,2016,경차,기아,79g/km
74,8.9,9.3,8.2,9.2,9.5,9.5,7.5,7.9,가솔린,2024,경차,렉서스,220g/km
