pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63,pc64,pc65,pc66,pc67,pc68,pc69,pc70,pc71,pc72,pc73,pc74,pc75,pc76,pc77,pc78,pc79,pc80,pc81,pc82,pc83,pc84,pc85,pc86,pc87,pc88,pc89,pc90,pc91,pc92,pc93,pc94,pc95,pc96,pc97,pc98,pc99,pc100,pc101,pc102,pc103,pc104,pc105,pc106,pc107,pc108,pc109,pc110,pc111,pc112,pc113,pc114,pc115,pc116,pc117,pc118,pc119,pc120,pc121,pc122,pc123,pc124,pc125,pc126,pc127,pc128,pc129,pc130,pc131,pc132,pc133,pc134,pc135,pc136,pc137,pc138,pc139,pc140,pc141,pc142,pc143,pc144,pc145,pc146,pc147,pc148,pc149,pc150,pc151,pc152,pc153,pc154,pc155,pc156,pc157,pc158,pc159,target
-118.41926,-7.734945,13.268877,5.9040074,-3.9105148,-12.583803,-2.8571465,11.430455,-29.643198,11.175858,-1.064246,-0.7620673,-11.286646,-3.5356486,8.314438,1.1954131,1.3106172,-1.3896337,2.7425158,-3.290621,-12.424782,7.572694,-0.80863947,-8.359774,10.655282,3.2028406,0.6180038,2.793132,-10.400039,0.30579588,-4.071946,6.5044866,-0.06351938,-2.2091577,3.685448,-0.41844952,-5.1017323,-1.1683284,-7.4344797,-3.1622612,7.183938,-12.058012,3.9747124,6.2668295,5.2043796,-1.6073878,3.0175755,4.6021147,-6.673347,-1.4218746,-1.711807,-1.6714976,2.5324535,1.6907883,-10.742723,-2.4557447,2.9119678,-2.1870277,1.8588632,-1.5462723,-1.4869438,3.4223585,2.170633,-2.630936,-3.2212446,3.8538172,-4.807636,-3.0329556,-0.35837418,0.3131589,0.37794372,2.9076412,-0.37114432,-6.840883,0.54265565,2.026488,5.4229107,3.8570585,-2.772611,0.08031834,3.1536524,-1.815852,-0.0037336114,1.1116726,1.9261464,-5.366834,0.97665745,-2.4853315,-2.20906,-7.6034656,1.2626323,1.0418305,-3.0012114,0.5170978,3.7729254,0.77689654,-2.14929,-4.6486626,-0.45423988,4.279189,-3.1408079,0.6135511,1.0306141,2.2466323,2.8722053,-1.4723886,-0.7561009,0.77239937,3.5003996,-3.1294289,-1.0267214,1.5764122,0.9662201,-1.7579542,0.25129968,-0.7435548,2.1120954,2.3363652,0.8697956,-0.011610609,0.822257,-4.196371,0.06878234,-1.6759593,2.47553,1.7293464,-1.9290527,3.1372802,-1.2771405,-0.7684405,-1.8140173,2.1556041,-1.2722508,-2.1905375,-1.2326705,1.2294946,-0.24649175,1.2501255,2.8192096,0.0062353397,1.1244447,-1.2236344,0.32485294,0.64703655,0.50746024,-0.16174693,2.70228,-0.8960176,1.0720176,2.3357062,-0.23329712,4.6668735,1.4160668,-1.5946807,3.3813856,-1.451524,-1.2292784,-0.31532446,-6.263868,3.0584545,child
18.3287,-3.6992815,22.739464,-27.02351,46.651737,-17.77691,-15.550065,11.747975,9.530488,25.967224,3.0260203,-13.767509,4.322711,3.1243398,2.651036,4.9676733,-8.602999,-1.9055141,-8.952123,11.783271,3.486475,-0.16949199,-0.311348,-2.7802992,-0.08584584,4.224633,1.5427316,-6.068562,-1.896874,-2.549619,2.6491754,1.425816,-1.9990925,1.0126833,3.7691593,-6.3962,4.172337,-0.4872333,-3.6212318,-1.3458232,-1.4931679,5.2611957,-5.318673,-5.2107663,1.7977971,1.8031474,1.1779013,-4.85573,-1.3472906,0.85831606,-4.7059855,2.643076,1.4811726,-4.688486,-1.786254,-3.290296,-0.59161866,-1.9421694,1.0960948,1.637009,-2.5096056,-0.91874623,0.9747164,-2.3130784,0.77717525,-0.11988461,2.8956516,-0.422551,-4.8676014,1.1777632,0.5670112,0.72045237,1.0675235,0.24826424,-0.19065662,4.141354,-3.8964472,-2.4891202,0.74016136,-2.2241888,-2.9920123,4.9480877,-4.012163,-1.7693325,-2.4577281,0.051844105,2.78208,-3.1945586,-0.07938624,-1.020795,-0.05326169,-2.4408185,-0.4051956,1.6315664,-0.3677561,-1.2754879,-7.7421865,0.4913126,2.6911912,0.78621227,0.2725903,-2.064758,-1.7951669,1.7851601,-0.597023,-2.5504556,-2.7244048,-2.3649008,-2.8616166,-1.5440936,0.70853746,2.5475116,0.9563753,-1.484356,-2.2408845,0.033293802,1.7440554,-0.31403834,1.1747596,1.594139,1.9001824,-1.4406294,-0.7157907,3.6837184,-0.054047566,0.6566281,1.0433846,-1.2823132,0.65556717,-0.2922497,2.874191,1.7602226,2.2606225,-2.9541004,1.4858792,0.7764335,0.3510807,-1.1390147,0.85124034,-2.012101,2.5639224,0.93331975,-0.15763359,-3.866803,-1.8729994,0.29560232,0.4191438,-2.4501967,3.2326314,0.9666975,-1.0027437,-0.8997577,0.65165794,-1.2010086,1.7646236,2.2719808,0.1837196,-2.832224,1.530067,2.4860606,senior
-102.9248,55.095543,-18.405449,9.814431,-2.1046329,10.511469,6.8808036,5.870844,0.3537265,-5.409183,4.4461308,-7.8663883,-21.61211,0.8776083,-7.291936,8.609489,5.933268,-6.915108,3.3084126,1.3619145,3.4243138,-3.936222,-7.665174,7.042103,6.0355425,0.87163925,-4.072468,-3.3401425,-1.0618266,-7.3768682,2.2559988,-4.4088535,4.589994,-0.83674407,-0.9973717,1.5808394,-2.0060453,4.3956475,-4.6656756,1.8259774,3.1701193,5.981247,3.054363,-1.557112,0.4787901,4.634917,-4.169243,-0.7503795,-1.0050775,-1.0213145,-1.5219159,1.0901519,-3.4564292,-5.237754,-2.916049,0.28752133,2.0092008,-0.60057217,3.6066616,-0.8276612,2.571466,1.5452579,-0.47385344,-3.9660883,1.2634176,5.7376723,1.2354051,2.051596,-2.5658195,0.79497945,-2.7281787,-0.48894316,2.4125361,0.7883179,4.2439427,3.4521494,-2.656257,-3.9332604,-5.28266,-1.3976862,-2.849453,-2.1640038,1.729126,1.2175107,1.7231379,-0.888415,0.65084594,-3.1253095,0.41697437,-0.80870235,0.90726936,2.0176027,-0.23851682,-3.4581296,1.6500708,2.3678424,2.1235707,-2.8921902,0.33484203,-1.3247356,5.599544,-1.9665217,0.16565341,-1.4395797,3.3469126,-0.03437585,-1.690738,-0.71185666,-1.8822852,-1.3553916,-0.50745267,-1.06574,2.2456393,0.9135732,1.0138781,1.3153688,2.1968942,0.3257428,-0.6019966,-1.2558179,-1.1394697,-3.248978,-1.8664943,0.54090726,0.35658017,1.8750861,0.6190274,-1.0244927,0.18601553,-1.2724346,2.22048,-1.5644298,0.09861852,-0.5325216,-2.863657,-1.2281092,-0.90692294,0.29903942,0.29663312,-0.085478306,-3.342473,2.2809587,-2.0966156,4.4610424,1.028943,0.5574802,0.38862765,-0.46804753,1.0134422,1.2469358,-0.3060848,-2.174497,1.8252093,0.041687198,-0.20783994,-2.3528678,0.9052431,-0.24091138,-0.41399366,-2.509218,middle_aged
69.34183,27.018127,7.078341,16.956085,-12.374149,13.972987,-24.81748,28.745987,-9.019019,-12.4038925,-9.098894,21.011072,15.090708,-19.301052,6.564528,-3.9392025,-14.394722,5.612653,-0.11620749,1.0922433,-4.5187473,7.255176,-20.474102,27.836214,10.278722,-17.48407,-6.816036,3.844427,9.0075,-5.0260897,-0.048091106,5.7574377,-4.292288,-1.1379671,-1.635017,4.6962104,4.9899035,-18.548532,-0.61746067,5.8851275,5.5753145,-4.203541,-11.593277,-3.2337081,-4.036215,1.2701566,0.3186489,-1.8396784,-0.37871763,-2.6690145,3.0995314,-5.6260176,3.9879894,5.5203104,-3.164924,4.791771,1.3672894,-2.7660947,2.6714783,-8.400606,3.7332869,-0.5308914,-9.342581,-2.652535,-2.3527956,3.0483139,4.6274157,2.6104376,-1.1843047,-0.29495963,3.8907833,2.1003072,-3.8726802,7.5358796,-2.025459,12.324573,1.5164737,-2.1421797,0.68284214,1.8600377,-2.1406329,-3.8341064,1.0442873,-0.27605313,-9.781305,2.8152487,2.7272508,1.8725992,-4.1667247,0.54409736,5.6109548,1.5210207,1.7042989,0.27721363,-2.9009914,2.8509843,1.3579153,2.0320294,1.8831856,2.6619647,-7.3191385,-1.5801505,-2.1289697,-3.4551227,-4.051941,3.8877218,1.6090244,5.5870805,-0.35469994,-0.7396438,-3.856028,-2.3480766,-3.274165,1.6189264,1.6910136,1.2891475,4.3212147,-3.0628629,1.491158,2.94507,-2.5740921,-0.6947766,3.413863,5.8927364,1.6176107,5.2271776,0.94396657,0.6159643,1.1844552,-5.701865,-0.17400648,-2.7553587,2.3464136,7.3931136,-3.9985845,-3.0992756,-0.57661945,2.8212001,-2.809523,-3.8395417,-1.3092417,2.896899,10.624939,1.2860497,6.771731,1.4944495,-2.3285708,-2.3345296,0.7841315,3.2809732,-1.1763786,-0.6305697,3.6428378,3.6228862,0.3548705,0.89819217,4.7731752,0.31669396,0.9119996,3.8384242,child
-50.87321,-26.47612,-29.530176,-10.579998,-37.692326,32.578426,-41.389137,4.220614,25.938965,13.658421,12.000573,-5.2315955,-41.213837,-3.8772314,-26.068464,-20.293476,3.0790162,0.739586,19.462053,-3.3103588,12.116888,0.55217725,12.955136,15.601705,-3.9134092,-7.1461153,1.6868438,1.6987535,-4.457466,5.781145,10.890524,3.9594972,4.9231954,1.873941,-17.006105,-5.648779,-4.631799,7.8284936,-7.877733,-9.150531,5.8238826,-3.4925733,12.750029,7.4472823,-8.42263,12.834916,2.4868429,-1.9710017,-0.8426174,5.2067623,-10.377747,7.1213155,6.2854924,-6.0171003,-5.73893,0.9837379,-6.0673337,-5.193124,6.301563,-1.8915344,-0.54923725,-7.2425194,0.029644063,6.3119483,-0.16460977,2.9295425,7.281615,-4.446068,4.8659816,-2.1926088,5.1931844,-1.7725775,-1.3863074,1.7706523,-0.08851319,-3.7677596,-2.251862,-3.1116223,3.0466568,2.677386,-4.512442,-11.718391,-10.127804,9.494987,-1.0198987,-4.8829584,8.659759,0.36714888,-1.717337,-4.9144,0.073357105,-0.5003409,-6.0449343,-2.948412,1.2544694,3.1006393,-4.073672,2.7240825,-3.971036,1.453533,-0.3314641,2.6531126,1.9724641,4.1331434,7.655035,4.978641,2.4512095,-1.173926,-3.734308,-0.22070213,1.4422255,0.29776528,-3.3245628,4.1513157,-1.5056068,5.423025,3.3293827,-2.0121446,-5.449777,4.388674,-0.7904647,6.7853847,0.12818682,3.4900918,1.7433039,-0.56719565,6.834113,-2.6465538,0.43002012,-1.5538524,-1.0734146,1.0390145,0.83371115,-0.35807103,-2.319875,0.20222649,1.9472001,-7.7481866,-2.6150362,2.019288,1.2397194,-4.106878,-2.3707533,3.3755999,-2.7559416,1.4315602,-7.2530293,2.7306793,0.2267904,-4.440919,-0.20076557,1.103709,-1.5743358,-3.7585313,-2.6477385,-2.7882895,6.3466263,0.4110956,2.4972248,-4.3829365,infant
-20.577816,-22.017536,34.71242,-9.839473,4.1039033,9.325494,10.96757,22.63089,-9.330391,4.100621,-4.2230716,-7.2442803,15.783221,-2.3988056,6.9330244,-0.9106879,3.7283332,2.3302314,10.513475,-0.96559036,8.700888,3.5514095,2.8748095,-3.5083869,-1.4321196,-6.9711094,1.6869409,-12.925239,10.029368,-1.6938157,1.8464704,6.383767,-6.3053365,-1.6030314,6.574962,-6.278766,-5.443076,-1.662597,7.9325995,3.522011,0.0749543,8.362938,5.032266,-2.0877242,1.1858774,-4.4273987,7.8314605,-1.8808541,-0.66825306,-9.746234,-3.4979906,-1.0516245,4.0619617,-3.9211814,-5.920008,0.39513862,-1.519982,-3.259659,-5.4581385,-3.4159522,-5.4734106,-6.3254504,-2.6637857,-2.1394675,1.6807566,1.1167233,-0.3914562,1.139185,-0.2505895,-1.3901552,3.034612,1.6305231,2.961111,-0.07906999,1.1174374,4.7388773,0.8417854,3.6887605,-1.9353031,0.89157414,0.22615857,-1.2228247,0.59742063,0.24145076,-3.4041555,-2.4889655,-2.5743003,-3.1362576,-1.9895861,-0.23844945,-0.17009434,-0.4117641,4.3865414,-0.9357924,3.112442,0.9029177,-3.9849355,1.1847669,1.4627969,-3.4718583,-1.3578404,0.44760144,-2.9254928,-0.037826173,1.0554361,0.8126121,-0.32773924,-1.7229699,1.3720454,-2.2834508,-1.0582505,-0.17080507,-1.0726205,1.0517671,-1.118059,0.19980247,-3.4784226,-1.7414559,-1.0298598,-1.1692272,-0.67645466,-3.2956927,0.27787957,1.6032695,-3.573292,1.1653932,0.2922933,-2.559051,-0.13001488,1.065733,2.0114894,-1.4434317,-0.43258706,-0.47022003,-0.50314194,-0.91522926,-2.1029441,-1.1402113,2.270254,0.50551146,0.055413205,-0.8832796,1.8321162,0.51253563,-0.5903237,-2.0604072,0.8250701,-1.2511069,0.28031477,-0.0050300853,-2.275747,0.39664638,1.0547166,0.17655875,0.941876,-1.3328955,-2.3153708,0.636732,-1.3104845,0.51849014,teen
-18.45079,-100.03186,1.9813961,17.25377,-6.529708,9.910014,-9.370341,-25.098824,-12.505251,0.62828916,33.159027,34.749897,-19.158367,-5.5624747,0.9894948,-10.927041,-14.110518,-1.2673211,21.536636,10.820483,-15.7469425,8.648846,5.8682346,-10.651123,22.07652,1.5220842,3.9433296,-0.972554,-2.5515451,-11.314057,-3.8710754,-0.89493567,0.41037557,-1.3203363,-0.8917244,1.3637942,2.8189292,-3.1493547,7.120358,9.999675,-3.4205487,4.222274,-3.2109666,-0.8976829,0.34602237,7.129188,-3.8414192,2.852028,-1.1712136,1.6380786,-3.1863294,0.95363027,1.0943711,1.4620892,6.9233313,4.203102,4.364927,-3.3401427,-3.2229178,-8.109093,-12.369711,7.4766817,-0.7090694,-8.764537,-3.5811515,1.2905536,0.06861762,-4.1779823,8.443441,-0.01229406,4.138948,-3.6909735,1.9989954,2.3480868,5.392109,-1.3634604,0.023722483,-6.384596,4.5330305,-2.4324942,4.506077,1.6278448,0.7564358,2.696941,5.3910275,-0.83189964,-2.313004,-6.6464643,4.5017343,-7.0731874,-2.0633385,-1.9630995,-0.50968814,4.396964,-2.5951824,-2.3538866,-4.1296477,0.22196044,6.7119703,-3.434758,0.087449744,-3.2305193,6.119728,-1.004509,3.3283675,-4.292323,2.7878878,-2.6042204,4.5911417,3.0622025,-2.354991,2.8430858,1.7854294,-4.5260463,-0.49820027,-0.6040105,1.3507296,2.2252746,-2.5309398,-2.1905456,-0.7417903,5.861233,1.7142756,-1.1723136,-0.6173657,3.3446114,-2.6437402,3.2843356,-1.516948,-5.5191846,-1.490052,3.778391,-2.401828,-2.3414924,-0.09608338,-0.27804855,1.8864502,-1.2902908,-0.46995276,5.5921655,2.269375,2.386774,1.6681149,2.13819,2.162303,-0.25399902,-0.2897656,-3.1952019,0.08439526,2.3583848,0.63706964,-1.0344232,0.55510676,-1.8194989,0.5733463,-0.37423506,-0.23656996,-1.8945733,3.2616065,-1.4798928,young_adult
2.6591032,35.00395,17.231363,-48.61173,18.872175,-15.600556,-4.4485693,-3.3138373,26.968456,-10.022375,11.449815,3.417939,4.2334967,-3.566771,9.988888,1.8358134,1.0361247,6.9351187,2.5119576,2.4008648,1.274504,9.974979,-1.9463637,3.0861177,3.5844805,0.26778302,-10.432128,10.599893,3.65414,5.7272224,-3.6627245,6.8609447,-0.13426532,-2.965824,10.071891,-5.6097393,-4.6463666,3.6497076,-1.3171629,0.52389616,-6.3434386,-5.65473,7.3601365,0.6506343,-6.980993,-2.3278599,-5.4391265,4.971393,-0.38186753,2.7262108,-5.729959,1.6640898,5.3090415,7.4784055,-1.2401836,2.3158555,-1.9228424,-5.5336237,-5.9660864,1.5710529,-5.631935,2.2808993,-0.6326957,-2.848518,-1.8437717,0.70648116,1.0524868,-6.298066,0.044385232,-0.2956241,-1.2085702,-1.3795209,5.0387816,-1.0969021,-0.31096125,-2.6904273,-1.7058984,1.0275095,-1.2188818,-6.054428,6.755403,3.2359552,0.42083418,-2.036044,-3.081131,-3.9941258,1.6052909,-2.2296245,0.91626984,-3.6208594,2.0824265,0.4356229,1.2413206,3.2367933,0.99414706,0.3872341,-2.4229388,-0.40085465,0.22187327,0.5204552,-0.2703225,0.4203189,-1.1839628,0.7396694,-2.5181336,-1.3181782,3.6639624,0.4879276,-0.8558035,5.5312014,-2.044488,-0.820961,1.4378216,1.1814072,1.2274665,-1.2051387,-0.7254922,0.41730842,0.9655191,2.6454287,1.1273463,0.48215288,-0.6191681,1.1738086,-1.1134111,-2.0120559,0.23501956,-0.3746078,2.4824948,-1.5158436,-1.4891764,-0.47501716,0.4378937,0.64362144,-0.71108377,5.434205,-1.2165842,0.7251352,-1.3559366,-1.6720387,-0.78943837,-4.1099033,-2.2651355,0.16709055,-2.9190385,-0.7980503,2.1905584,-0.092226356,1.4098182,1.18431,-1.1804295,-0.48095247,1.8959658,1.1308911,-1.0230474,2.300807,-1.3230232,1.2761375,-1.666539,1.4652666,senior
-97.578156,48.186516,-85.336685,-0.5216034,17.238808,-51.56935,-14.0409565,-1.8547626,-16.043037,16.21183,-12.220133,9.489109,-2.3987465,-5.9396725,8.936412,-9.806124,-5.0429296,-6.0502295,-18.972954,1.2391156,-5.00562,16.950066,21.361507,12.552031,-8.4506235,0.28839567,-5.9537344,5.160632,1.1447444,6.250981,-3.608469,-4.08477,-0.54240054,-4.7923408,10.603131,10.557651,-2.9980137,-0.940569,-0.9374647,2.3721411,-5.5258117,-7.6441526,-0.3772418,-0.6827247,-0.8497705,-8.885534,3.8180392,-1.305462,1.6041818,0.2901485,6.760156,7.8978386,-6.9272795,1.3636755,4.7141986,1.4156443,-6.9554687,3.4892063,-3.3768961,7.5512843,3.3367767,-7.7941823,-1.747488,-6.6011004,1.4293612,0.6278859,5.3376007,1.129873,-10.152749,6.6740212,1.0549587,-2.312538,0.57936865,7.785567,-6.1368585,-2.6212935,-6.195827,-2.836265,-1.5376174,3.4038503,0.8958426,0.63668126,-0.6648396,4.0045156,-3.4697728,2.282862,0.26624915,2.9616985,-1.6669054,2.61411,2.5684927,-0.51918405,-0.8483964,0.295004,-4.2946415,2.5984263,2.8958685,-9.356893,-0.4876371,-2.812027,8.005969,-1.6499869,-2.23392,-1.2579783,-0.1687255,5.947364,-1.196872,0.4401464,-3.3158538,2.724265,-2.3366756,-1.3374435,-0.37261042,-6.3326874,3.8414183,-1.2192059,0.2639669,-3.3386512,-0.022074869,1.4123344,5.684373,-0.14541185,1.8951448,3.177064,0.92119485,0.84089744,0.3871644,3.2536817,-0.8427136,2.736837,-1.235238,2.9388,-2.6759617,4.815038,0.7518771,2.5399122,-1.3523954,-1.4324361,4.2104077,3.931284,3.9982145,2.1166058,2.6463027,1.0280507,-2.8478003,-1.2486743,3.3935444,0.27959913,-4.453291,1.5311722,-0.22648476,1.3799505,-1.5842936,0.3204641,1.0257295,-3.1380925,0.3212437,-1.2919165,1.7865232,-3.276485,young_adult
112.870285,-2.9502509,10.916151,60.000553,-20.418398,53.123943,-36.625668,-17.042612,-22.318682,9.518751,3.3526413,-7.8116455,27.663433,-6.81633,13.582588,-10.357118,-10.629733,38.226124,0.39971104,14.954723,-2.5419009,3.6961315,23.282116,-15.09535,-11.395223,-5.938419,2.242914,6.637756,-2.082755,4.207295,2.6772501,-1.6650063,-3.072658,1.998768,-4.4459248,-15.562027,-3.291688,-4.090336,-3.5696065,15.744505,-8.657134,3.8675323,3.7392015,11.138624,14.760515,-8.772476,0.009267455,-7.6185937,1.4274997,7.184364,-2.4055276,-13.399072,0.65727353,12.67047,-19.069384,-5.8795643,1.6467216,-3.537535,-2.285235,1.8743715,4.1415844,-4.8548427,5.104661,6.251858,1.0839852,-1.1787088,5.1350327,-0.33212116,-6.6548734,5.4936857,4.7705855,0.60003465,-11.013965,2.3328085,-3.4448473,-7.353934,-0.5409436,-2.4610107,0.18705507,6.6112742,-3.4771254,3.7158868,7.167101,3.1351628,-7.271751,-0.33678243,-1.0132915,4.800746,-1.3655834,1.734901,-0.99007016,2.2317326,-3.1468096,-2.4009166,-5.1226315,1.5878398,1.8774922,1.9488536,-7.205831,-0.17474183,-9.364847,-2.633392,0.3390595,-1.6867338,5.8239145,2.772729,-2.234769,2.02574,-1.7382319,-1.8100266,2.9630365,-7.8183675,-7.9717455,-1.7049727,-5.0218782,0.2043336,-5.3838625,-0.7547718,4.4198112,2.259512,2.2169256,-7.4779162,2.5197086,-1.8528358,-0.2268036,-3.1268446,5.486726,-4.5676107,-0.5347034,-2.6623929,-5.1757817,-3.4672225,0.83851343,-2.6132407,0.804662,-1.9822708,2.6020987,3.4378157,-4.039802,-2.7368736,1.0278146,-1.3356795,-1.9886457,4.648105,-0.8878069,-4.8460817,-2.6668816,-2.7204711,2.413028,-0.2655072,-0.609319,3.5600352,-1.1742533,0.19976284,5.4364066,-1.388596,1.6422119,-3.5179088,-1.711555,2.8851995,child
