속도,고도,교류_컴프레서,교류_컴프레서_압력,교류_덕트_온도_드라이버,교류_고전압히터,교류_내부_온도_전선,교류_외부_온도,배터리_관리_시스템_배터리_냉각기_상태,배터리_관리_시스템_배터리_냉각수_입구_온도,배터리_관리_시스템_배터리_밸브_모드,배터리_관리_시스템_베터리_밸브_피드백,배터리_관리_시스템_배터리_밸브_요구_사항,배터리_관리_시스템_고전압_팩_전류,배터리_관리_시스템_고전압_팩_전압,배터리_관리_시스템_전동식워터펌프속도,배터리_관리_시스템_전력전자_밸브_피드백,배터리_관리_시스템_전력전자_밸브_요구_사항,배터리_관리_시스템_온도01,배터리_관리_시스템_온도02,배터리_관리_시스템_온도03,배터리_관리_시스템_온도04,배터리_관리_시스템_온도05,클러스터_주행거리,마이크로컨트롤_유닛_모터_속도,마이크로컨트롤_유닛_모터_토크_실제,차량제어기_브레이크_스위치
2.370559947,58.40000153,1,9.4,12.5,0,26.5,28.5,0,28,1,1,1,6.6,340.6,0,0,0,29,29,29,30,30,13929,-429,-18.3,1
3.055799956,57.09999847,1,9.4,12.5,0,26.5,28.5,0,28,1,1,1,6.7,340.6,0,0,0,29,29,29,30,30,13929,-426,-16.0,1
3.759559947,57.09999847,1,9.4,12.5,0,26.5,28.5,0,28,1,1,1,7.4,340.6,0,0,0,29,29,29,30,30,13929,-365,-23.3,1
3.907719806,58.09999847,1,9.6,12.5,0,26.5,28.5,0,28,1,1,1,8.2,340.6,0,0,0,30,29,29,30,30,13929,-307,-33.8,1
2.537240009,58.79999924,1,9.6,12.5,0,26.5,28.5,0,28,1,1,1,8.6,340.5,0,0,0,29,29,29,30,30,13929,-283,-40.6,1
2.518720026,59.0,1,9.6,12.0,0,26.0,28.5,0,28,1,1,1,9.0,340.6,0,0,0,29,29,29,30,30,13929,-273,-44.3,1
2.963200044,59.0,1,9.6,12.0,0,26.0,28.5,0,28,1,1,1,8.7,340.6,0,0,0,30,29,29,30,30,13929,-260,-43.8,1
2.185359903,59.09999847,1,9.6,12.0,0,26.0,28.5,0,28,1,1,1,8.5,340.5,0,0,0,29,29,29,30,30,13929,-240,-43.6,1
2.185359903,59.09999847,1,9.6,12.0,0,26.0,28.5,0,28,1,1,1,7.8,340.5,0,0,0,30,29,29,30,30,13929,-215,-46.7,1
2.444640097,59.09999847,1,9.6,12.0,0,26.0,28.5,0,28,1,1,1,6.7,340.6,0,0,0,29,29,29,30,30,13929,-147,-52.6,1
1.944599912,59.20000076,1,9.6,11.5,0,26.0,28.5,0,28,1,1,1,7.9,340.5,0,0,0,29,29,29,30,30,13929,-33,-64.5,1
22.83515986,108.8000031,0,6.0,30.0,0,-40.0,-40.0,0,27,0,0,0,0.2,374.9,0,0,0,31,32,30,31,32,13929,0,0.0,0
22.83515986,108.8000031,0,6.0,30.0,0,-40.0,-40.0,0,27,0,0,0,0.2,374.9,0,0,0,31,32,30,31,32,13929,0,0.0,0
22.83515986,108.8000031,1,6.0,24.5,0,31.5,28.5,0,27,0,0,0,16.7,373.2,0,0,0,32,32,30,31,32,13929,0,0.0,0
28.59487922,106.0,1,9.2,24.5,0,31.5,28.5,0,28,0,0,0,-6.0,373.6,1000,0,0,32,32,30,31,32,13929,2599,0.4,0
28.59487922,106.0,1,9.2,24.0,0,31.5,28.5,0,28,0,0,0,-11.5,374.3,1000,0,0,32,32,30,31,32,13929,2384,-30.8,0
26.61323979,103.8000031,1,9.2,23.5,0,31.5,28.5,0,28,0,0,0,-9.4,374.1,1000,0,0,31,32,30,31,32,13929,2205,-25.2,0
23.66855951,101.0999985,1,9.2,23.0,0,31.5,28.5,0,28,0,0,0,-3.6,374.0,1000,0,0,32,32,30,31,32,13929,2048,-11.2,0
21.61284014,98.69999695,1,9.2,23.0,0,31.5,28.5,0,28,0,0,0,0.4,373.9,1000,0,0,32,32,30,31,32,13929,1925,-5.6,0
20.79795915,96.5,1,9.2,22.5,0,31.5,28.5,0,28,0,0,0,0.9,373.8,1000,0,0,32,32,30,31,32,13929,1840,-4.5,0
18.55704085,94.40000153,1,9.2,22.0,0,31.5,28.5,0,28,0,0,0,0.6,373.9,1000,0,0,31,32,30,31,32,13929,1756,-4.6,0
17.27915986,94.30000305,1,9.2,22.0,0,31.5,28.5,0,28,0,0,0,6.9,373.7,1000,0,0,32,32,30,31,32,13929,1717,5.4,0
14.83452042,91.5,1,9.2,21.5,0,31.5,28.5,0,28,0,0,0,7.6,373.6,1000,0,0,32,32,30,31,32,13929,1710,6.4,0
14.68635968,90.19999695,1,9.2,21.5,0,31.0,28.5,0,28,0,0,0,-7.7,374.2,1000,0,0,31,32,30,31,32,13929,1589,-19.9,1
14.68635968,90.19999695,1,9.2,21.0,0,31.0,28.5,0,28,0,0,0,-9.6,374.2,980,0,0,32,32,30,31,32,13929,1304,-24.2,0
13.53811989,89.0,1,9.2,20.5,0,31.0,28.5,0,28,0,0,0,-1.0,373.9,1000,0,0,32,32,30,31,32,13929,1185,-10.6,0
11.81576021,86.09999847,1,9.2,20.5,0,31.0,28.5,0,28,0,0,0,20.8,373.3,1000,0,0,32,32,30,31,32,13929,1190,40.3,0
10.92680018,84.5,1,9.2,20.0,0,31.0,28.5,0,28,0,0,0,-0.7,373.9,1000,0,0,32,32,30,31,32,13929,1304,-2.4,1
10.92680018,84.5,1,9.4,20.0,0,31.0,28.5,0,28,0,0,0,-0.8,373.9,1000,0,0,32,32,30,31,32,13929,1207,-13.5,1
10.11192007,81.90000153,1,9.4,20.0,0,31.0,28.5,0,28,0,0,0,-6.2,374.1,1000,0,0,31,32,30,31,32,13929,952,-42.3,1
